uc011fyv.2	ENST00000415092
uc011fyw.2	ENST00000415092
uc011fyy.1	ENST00000440824
uc011fyz.1	ENST00000494704
uc011fzb.1	ENST00000464084
uc011fze.2	ENST00000428577
uc011fzd.2	ENST00000464084
uc011fzf.2	ENST00000428577
uc011fzg.2	ENST00000428577
uc011fzh.2	ENST00000428577
uc011fzi.2	ENST00000428577
uc011fzj.2	ENST00000428577
uc011fzk.2	ENST00000428577
uc011fzl.2	ENST00000464843
uc011fzm.2	ENST00000464843
uc011fzn.2	ENST00000498621
uc011fzp.1	ENST00000547450
uc011fzq.1	ENST00000440457
uc011fzr.1	ENST00000440457
uc011fzs.1	ENST00000440457
uc021znc.1	ENST00000431128
uc021znd.1	ENST00000431128
uc011fzu.2	ENST00000412408
uc021zne.1	ENST00000412408
uc011fzw.2	ENST00000420214
uc011fzx.2	ENST00000470382
uc011fzz.2	ENST00000420214
uc011gag.2	ENST00000430947
uc011gah.2	ENST00000430947
uc011gao.3	ENST00000416945
uc021zni.1	ENST00000383514
uc011gaw.2	ENST00000383514
uc031ssw.1	ENST00000383514
uc011gax.2	ENST00000383514
uc011gay.2	ENST00000437651
uc011gaz.1	ENST00000452195
uc011gbq.2	ENST00000456607
uc011gbr.2	ENST00000456607
uc011gbu.2	ENST00000455376
uc011gbt.2	ENST00000455376
uc011gbs.1	ENST00000456607
uc011gbx.2	ENST00000487391
uc011gby.2	ENST00000487391
uc011gbz.2	ENST00000487391
uc011gca.2	ENST00000487391
uc011gbv.2	ENST00000432632
uc011gbw.2	ENST00000441939
uc011gcb.3	ENST00000420425
uc011gcc.2	ENST00000420425
uc021znk.1	ENST00000427507
uc011gcq.2	ENST00000450425
uc011gch.2	ENST00000450425
uc011gci.2	ENST00000450425
uc011gcj.2	ENST00000451641
uc011gck.2	ENST00000455346
uc011gcp.2	ENST00000429910
uc021znl.1	ENST00000423871
uc011gcl.2	ENST00000432164
uc011gcm.2	ENST00000437812
uc011gco.2	ENST00000429910
uc011gcn.2	ENST00000440242
uc011gcr.2	ENST00000437812
uc011gcv.2	ENST00000489685
uc031ssx.1	ENST00000425748
uc011gcw.2	ENST00000425748
uc011gcx.2	ENST00000416422
uc011gdb.2	ENST00000583823
uc011gcy.1	ENST00000550674
uc011gcz.2	ENST00000550674
uc011gda.2	ENST00000416335
uc031ssy.1	ENST00000439902
uc011gdj.3	ENST00000439902
uc011gdk.2	ENST00000426800
uc011gdq.1	ENST00000550832
uc011gdr.2	ENST00000490307
uc021znn.1	ENST00000490307
uc011gds.1	ENST00000443673
uc031ssz.1	ENST00000429633
uc031sta.1	ENST00000429633
uc031stb.1	ENST00000443952
uc031stc.1	ENST00000443952
uc031std.1	ENST00000443952
uc031ste.1	ENST00000443812
uc011gdu.1	ENST00000484964
uc011gef.1	ENST00000455632
uc011geg.1	ENST00000554860
uc011gel.1	ENST00000420378
uc011gem.1	ENST00000498546
uc021znp.1	ENST00000483796
uc011gep.2	ENST00000451549
uc011geq.2	ENST00000451549
uc011ger.2	ENST00000451549
uc011ges.2	ENST00000451549
uc011get.2	ENST00000451549
uc011geu.2	ENST00000483796
uc011gfd.2	ENST00000497157
uc011gfa.2	ENST00000497157
uc011gfb.2	ENST00000497157
uc011gfc.2	ENST00000497157
uc011gfe.1	ENST00000497157
uc011gff.1	ENST00000439816
uc011gfg.2	ENST00000476578
uc011gft.1	ENST00000452298
uc011gfr.2	ENST00000433487
uc011gfv.2	ENST00000445736
uc011gfz.1	ENST00000582400
uc011gga.2	ENST00000582902
uc011gfw.2	ENST00000414434
uc011gfx.2	ENST00000414434
uc011gfy.2	ENST00000444331
uc011ggv.2	ENST00000497466
uc011ggr.1	ENST00000475544
uc011ggs.2	ENST00000475544
uc011ggu.2	ENST00000423826
uc011ggw.2	ENST00000413548
uc011ggx.2	ENST00000550682
uc011ggy.2	ENST00000413548
uc011ghb.2	ENST00000483332
uc011ghc.1	ENST00000494049
uc011ghd.1	ENST00000433503
uc011gha.2	ENST00000455591
uc011ghe.2	ENST00000433503
uc011ghj.1	ENST00000429465
uc011ghk.1	ENST00000429465
uc011ghl.1	ENST00000429465
uc011ghu.2	ENST00000468899
uc011ghv.1	ENST00000549310
uc011ghs.2	ENST00000549310
uc011ghx.2	ENST00000426802
uc011ghw.2	ENST00000426802
uc011ghy.1	ENST00000520138
uc011gib.1	ENST00000546746
uc011ghz.2	ENST00000375295
uc011gia.2	ENST00000375295
uc011gic.3	ENST00000482524
uc021znt.1	ENST00000495969
uc021znu.1	ENST00000474537
uc011gik.1	ENST00000546399
uc011gii.2	ENST00000449788
uc011gij.2	ENST00000449788
uc011gil.3	ENST00000462943
uc011gim.2	ENST00000448478
uc011gin.2	ENST00000448478
uc011gjd.2	ENST00000427896
uc011gje.2	ENST00000429189
uc011gjg.2	ENST00000429189
uc011gjf.2	ENST00000429189
uc011gji.1	ENST00000425659
uc021znz.1	ENST00000445536
uc011gju.2	ENST00000416883
uc011gjv.2	ENST00000416883
uc011gjz.2	ENST00000457246
uc011gka.2	ENST00000453504
uc011gke.2	ENST00000447735
uc021zoc.1	ENST00000421382
uc021zod.1	ENST00000421382
uc021zoe.1	ENST00000421382
uc021zof.1	ENST00000421382
uc011gkt.2	ENST00000484631
uc011gku.2	ENST00000383114
uc011glh.2	ENST00000442219
uc011glg.2	ENST00000518754
uc011glo.2	ENST00000497181
uc011gls.1	ENST00000458614
uc011glp.2	ENST00000454006
uc011glq.2	ENST00000454006
uc021zoj.1	ENST00000577883
uc011gmg.2	ENST00000416369
uc011gmh.2	ENST00000441854
uc011gmi.2	ENST00000416369
uc011gmk.2	ENST00000454191
uc011gml.1	ENST00000580138
uc011gmm.1	ENST00000430233
uc011gmn.1	ENST00000430233
uc011gmo.2	ENST00000430233
uc011gmp.2	ENST00000482708
uc021zok.1	ENST00000425404
uc011gmv.1	ENST00000457341
uc011gmw.1	ENST00000494232
uc011gmy.1	ENST00000419471
uc011gnd.2	ENST00000425878
uc011gnc.2	ENST00000425878
uc031stf.1	ENST00000425878
uc021zol.1	ENST00000425878
uc011frs.1	ENST00000435625
uc011frt.1	ENST00000429714
uc011fru.1	ENST00000429714
uc011frv.1	ENST00000466714
uc011frw.1	ENST00000446776
uc011frx.2	ENST00000456140
uc011fsb.1	ENST00000552446
uc011fsd.2	ENST00000551986
uc011fse.1	ENST00000419773
uc011fsj.2	ENST00000449044
uc011fsl.2	ENST00000421519
uc011fsm.2	ENST00000417759
uc011fsp.2	ENST00000446436
uc011fst.1	ENST00000466282
uc011fsq.2	ENST00000425097
uc011fsr.2	ENST00000425097
uc011fss.2	ENST00000425097
uc011ftl.2	ENST00000548574
uc011fts.1	ENST00000422960
uc011ftt.1	ENST00000422960
uc011ftu.2	ENST00000442989
uc011ftv.1	ENST00000443869
uc011ftw.2	ENST00000440044
uc011fva.2	ENST00000423521
uc011fvf.2	ENST00000428435
uc011fve.1	ENST00000448229
uc011fvl.2	ENST00000456156
uc011fvm.2	ENST00000456156
uc011fvn.2	ENST00000433864
uc011fvo.2	ENST00000433864
uc011fvt.2	ENST00000413055
uc011fvu.2	ENST00000426996
uc011fvw.2	ENST00000433314
uc011fwa.1	ENST00000438785
uc011fvx.2	ENST00000447711
uc011fvz.2	ENST00000456093
uc011fvy.2	ENST00000447711
uc031ssn.1	ENST00000426984
uc011fwd.2	ENST00000458584
uc011fwe.2	ENST00000458584
uc031sso.1	ENST00000458584
uc031ssp.1	ENST00000458584
uc011fwr.2	ENST00000428189
uc011fws.2	ENST00000428189
uc011fwt.2	ENST00000428189
uc011fwu.2	ENST00000428189
uc011fxc.3	ENST00000449113
uc011fxb.3	ENST00000449113
uc011fxr.2	ENST00000451748
uc011fxs.2	ENST00000424672
uc011fxt.2	ENST00000424672
uc011fxu.2	ENST00000455935
uc011fxv.2	ENST00000455935
uc031ssq.1	ENST00000444252
uc031ssr.1	ENST00000422747
uc031sss.1	ENST00000422747
uc031sst.1	ENST00000422747
uc031ssu.1	ENST00000422747
uc031ssv.1	ENST00000422747
uc011fxy.3	ENST00000422747
uc011fxw.3	ENST00000422747
uc011fxz.2	ENST00000420320
uc011fyc.1	ENST00000551204
uc011fyb.1	ENST00000552263
uc011fyd.1	ENST00000551204
uc011fya.2	ENST00000420320
uc011fyh.2	ENST00000383382
uc011fyi.2	ENST00000383382
uc011fyj.2	ENST00000416884
uc011fzo.2	ENST00000457919
uc011fzv.2	ENST00000427005
uc011fzy.2	ENST00000418599
uc011gaa.2	ENST00000416027
uc011gab.2	ENST00000383341
uc021znf.1	ENST00000400352
uc021zng.1	ENST00000400352
uc011gaf.1	ENST00000383341
uc011gae.2	ENST00000383341
uc011gai.2	ENST00000412166
uc011gaj.2	ENST00000412166
uc021znh.1	ENST00000412166
uc011gak.2	ENST00000434616
uc011gan.1	ENST00000450562
uc011gat.1	ENST00000479595
uc011gar.1	ENST00000458192
uc011gau.1	ENST00000494823
uc011gap.2	ENST00000420206
uc011gas.2	ENST00000420206
uc011gbb.2	ENST00000461254
uc011gbl.1	ENST00000581427
uc011gbn.1	ENST00000579171
uc011gbh.1	ENST00000465849
uc011gbi.1	ENST00000461254
uc011gbj.1	ENST00000465849
uc011gbk.1	ENST00000461254
uc011gbm.1	ENST00000546633
uc011gbe.2	ENST00000453138
uc011gbf.2	ENST00000441425
uc011gbd.2	ENST00000453138
uc011gbg.2	ENST00000456666
uc011gbo.2	ENST00000454370
uc011gbp.2	ENST00000454370
uc021znj.1	ENST00000421596
uc011gcd.1	ENST00000444479
uc011gce.1	ENST00000464122
uc011gcs.1	ENST00000415123
uc011gct.1	ENST00000439584
uc011gcu.1	ENST00000436623
uc011gdc.2	ENST00000422756
uc011gdd.2	ENST00000434446
uc011gdf.2	ENST00000434446
uc011gde.2	ENST00000434446
uc011gdg.2	ENST00000434446
uc011gdh.2	ENST00000434446
uc011gdl.1	ENST00000431256
uc011gdm.2	ENST00000419261
uc021znm.1	ENST00000419261
uc011gdn.2	ENST00000419261
uc011gdo.2	ENST00000419261
uc011gdp.2	ENST00000419261
uc011gdv.2	ENST00000455753
uc011gdw.1	ENST00000486182
uc011gdx.1	ENST00000435280
uc021zno.1	ENST00000583279
uc011gdy.2	ENST00000494438
uc011gdz.2	ENST00000551038
uc011gea.2	ENST00000549543
uc011ged.2	ENST00000549543
uc011gee.2	ENST00000549543
uc011gec.2	ENST00000549543
uc011geh.1	ENST00000550508
uc011gei.1	ENST00000481162
uc011gek.1	ENST00000453077
uc011gej.1	ENST00000419000
uc011gen.2	ENST00000428498
uc011geo.2	ENST00000467714
uc011gev.2	ENST00000451411
uc011gew.2	ENST00000437889
uc011gex.1	ENST00000422167
uc011gey.1	ENST00000431921
uc011gfi.2	ENST00000546928
uc011gfj.1	ENST00000546928
uc011gfk.1	ENST00000551633
uc021znq.1	ENST00000211402
uc011gfl.2	ENST00000211402
uc011gfn.1	ENST00000211402
uc011gfo.2	ENST00000424975
uc011gfp.2	ENST00000417601
uc011gfq.2	ENST00000417601
uc011ggb.2	ENST00000434496
uc011ggh.2	ENST00000548188
uc011ggg.2	ENST00000425238
uc011ggi.2	ENST00000549663
uc011ggl.2	ENST00000478077
uc011ggm.2	ENST00000497361
uc011ggn.2	ENST00000428442
uc011ggo.2	ENST00000429506
uc011ggp.2	ENST00000429506
uc011ggq.1	ENST00000480410
uc011ggt.1	ENST00000458242
uc021zns.1	ENST00000584324
uc011ghf.2	ENST00000383174
uc011ghg.2	ENST00000383174
uc011ghn.1	ENST00000414092
uc011gho.1	ENST00000414092
uc011ghr.1	ENST00000414092
uc011ght.1	ENST00000414092
uc011gif.2	ENST00000515427
uc011gio.1	ENST00000426348
uc011gip.1	ENST00000469250
uc011giq.1	ENST00000550212
uc011gir.1	ENST00000547111
uc011gis.1	ENST00000293709
uc011giv.2	ENST00000293709
uc011giw.2	ENST00000463669
uc011git.2	ENST00000383156
uc011giu.2	ENST00000293709
uc011gix.2	ENST00000463669
uc011giy.2	ENST00000456854
uc011giz.2	ENST00000483352
uc011gja.2	ENST00000444466
uc011gjb.2	ENST00000418753
uc021znv.1	ENST00000471078
uc021znw.1	ENST00000471078
uc011gjc.2	ENST00000489854
uc021znx.1	ENST00000471078
uc021zny.1	ENST00000424621
uc011gjl.2	ENST00000424621
uc011gjm.2	ENST00000424621
uc011gjn.2	ENST00000438312
uc011gjo.1	ENST00000424621
uc011gjp.1	ENST00000424621
uc011gjq.2	ENST00000551095
uc011gjr.2	ENST00000551095
uc011gjs.3	ENST00000551095
uc011gjt.2	ENST00000551095
uc021zoa.1	ENST00000444645
uc011gjy.2	ENST00000444645
uc011gkb.2	ENST00000399074
uc011gkc.2	ENST00000416192
uc011gkd.2	ENST00000434886
uc011gkf.2	ENST00000547371
uc011gkg.1	ENST00000433801
uc011gkh.2	ENST00000454286
uc011gkj.1	ENST00000469995
uc011gkm.1	ENST00000452371
uc011gki.1	ENST00000452371
uc011gkk.1	ENST00000451907
uc011gkl.2	ENST00000452371
uc011gkn.2	ENST00000446762
uc011gko.2	ENST00000446762
uc011gkp.2	ENST00000441960
uc011gkr.2	ENST00000439781
uc011gks.2	ENST00000439781
uc011gky.2	ENST00000477825
uc011gkz.2	ENST00000448798
uc011gla.2	ENST00000440078
uc011glb.2	ENST00000448798
uc011glc.2	ENST00000440078
uc011gkx.2	ENST00000461570
uc011gld.2	ENST00000461570
uc011gle.1	ENST00000439054
uc011glf.1	ENST00000487750
uc011gli.2	ENST00000452598
uc011glj.2	ENST00000452598
uc011glk.2	ENST00000452598
uc011glm.2	ENST00000484244
uc011gll.2	ENST00000454805
uc021zoh.1	ENST00000454805
uc021zoi.1	ENST00000454805
uc011glt.1	ENST00000494246
uc011glu.1	ENST00000551758
uc011glv.1	ENST00000448717
uc011glw.1	ENST00000550998
uc011glx.2	ENST00000452937
uc011gmd.1	ENST00000494616
uc011gly.3	ENST00000415157
uc011glz.3	ENST00000415157
uc011gmc.2	ENST00000415157
uc011gme.2	ENST00000415157
uc011gmf.2	ENST00000494616
uc011gmb.3	ENST00000455462
uc011gms.1	ENST00000489636
uc011gmq.2	ENST00000441058
uc011gmu.1	ENST00000441058
uc011gmr.2	ENST00000471761
uc011gmt.1	ENST00000471761
uc011gnb.1	ENST00000457382
uc011gmz.2	ENST00000457382
uc011gna.2	ENST00000457382
uc011gne.2	ENST00000473419
uc011gnf.2	ENST00000492493
uc011gng.2	ENST00000452084
uc011gnh.2	ENST00000452084
uc011gni.2	ENST00000550374
uc011gnj.2	ENST00000417059
uc011gnn.2	ENST00000417059
uc011gnm.2	ENST00000456807
uc011gnl.2	ENST00000493108
uc011gno.2	ENST00000417059
uc011gnp.1	ENST00000418540
uc011gnq.1	ENST00000547592
uc021zom.1	ENST00000399060
uc021zon.1	ENST00000399060
uc011gnr.2	ENST00000383062
uc011gns.2	ENST00000383062
uc011gnt.2	ENST00000383062
uc011gnu.2	ENST00000383062
uc011gnv.1	ENST00000383062
uc011iec.2	ENST00000383651
uc011ied.2	ENST00000427744
uc011ieg.2	ENST00000503212
uc011ieh.2	ENST00000400713
uc011iei.1	ENST00000383644
uc011iej.2	ENST00000461453
uc011iek.2	ENST00000460440
uc021ztg.1	ENST00000437693
uc011iem.2	ENST00000437693
uc021zth.1	ENST00000437693
uc011iep.2	ENST00000580093
uc011ieq.1	ENST00000376947
uc011iew.2	ENST00000549967
uc011iex.2	ENST00000549967
uc011iey.2	ENST00000549967
uc011iez.2	ENST00000259891
uc011ifc.2	ENST00000549967
uc011ifb.2	ENST00000549967
uc011ife.2	ENST00000547083
uc011ifd.2	ENST00000547083
uc011ifg.2	ENST00000549967
uc011ifh.2	ENST00000549967
uc011ifi.2	ENST00000547083
uc011ifk.2	ENST00000547083
uc011ifj.2	ENST00000547083
uc011ifl.2	ENST00000547083
uc011ifm.2	ENST00000548951
uc031sut.1	ENST00000550932
uc011ifp.2	ENST00000383626
uc011ifq.2	ENST00000383626
uc011ifr.2	ENST00000383627
uc011ifs.1	ENST00000489167
uc011ift.1	ENST00000383627
uc011ifz.1	ENST00000424483
uc011iga.2	ENST00000424483
uc011igb.2	ENST00000413589
uc021ztj.1	ENST00000426707
uc011igc.1	ENST00000400682
uc011igd.1	ENST00000400682
uc011ige.1	ENST00000553052
uc011igf.1	ENST00000383621
uc011igg.1	ENST00000383621
uc011igh.1	ENST00000469472
uc011igi.1	ENST00000383622
uc021ztl.1	ENST00000429724
uc021ztk.2	ENST00000429724
uc011igj.3	ENST00000429724
uc031suu.1	ENST00000376822
uc011igl.2	ENST00000478740
uc011igp.2	ENST00000431463
uc011igq.2	ENST00000462536
uc011igs.2	ENST00000383619
uc011igt.2	ENST00000383605
uc011igv.2	ENST00000478740
uc011iha.2	ENST00000383616
uc011ihd.2	ENST00000461713
uc011ihe.2	ENST00000461713
uc011ihf.2	ENST00000460173
uc011ihi.2	ENST00000400660
uc011ihj.2	ENST00000400662
uc011ihk.2	ENST00000383612
uc011ihl.2	ENST00000400657
uc011ihm.2	ENST00000400657
uc011ihs.1	ENST00000383610
uc011ihu.1	ENST00000547289
uc011ihx.2	ENST00000259930
uc011iid.1	ENST00000460301
uc011iih.2	ENST00000400644
uc011iii.2	ENST00000550282
uc011iij.2	ENST00000383603
uc011iik.2	ENST00000383603
uc011iil.2	ENST00000550618
uc011iin.2	ENST00000456870
uc011iio.2	ENST00000456870
uc021ztn.1	ENST00000456870
uc011iim.2	ENST00000422320
uc011iip.2	ENST00000383597
uc011iiq.2	ENST00000383597
uc011iir.2	ENST00000383597
uc011iis.2	ENST00000383597
uc011iix.2	ENST00000383592
uc011iiy.2	ENST00000383592
uc011iiz.1	ENST00000383588
uc011ija.2	ENST00000383588
uc011ijb.2	ENST00000383587
uc021zto.1	ENST00000577884
uc011ijf.1	ENST00000327800
uc011ijg.1	ENST00000327800
uc011iji.2	ENST00000400575
uc011ijk.2	ENST00000383584
uc011ijj.2	ENST00000400575
uc011ijl.2	ENST00000383584
uc011ijo.2	ENST00000383584
